win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
A,opponent goes out of bounds,push,goes out of bounds,1,0
A,opponent goes out of bounds,lob,goes out of bounds,2,0
B,wins by landing,smash,opponent wins by landing,2,1
B,wins by landing,smash,opponent wins by landing,2,2
B,wins by landing,rush,opponent wins by landing,2,3
A,wins by landing,smash,opponent wins by landing,3,3
A,wins by landing,rush,opponent wins by landing,4,3
B,opponent goes out of bounds,clear,goes out of bounds,4,4
B,opponent goes out of bounds,cross-court net shot,goes out of bounds,4,5
A,opponent hits the net,net shot,hits the net,5,5
A,opponent goes out of bounds,push,goes out of bounds,6,5
B,wins by landing,push,opponent wins by landing,6,6
A,wins by landing,net shot,opponent wins by landing,7,6
A,wins by landing,smash,opponent wins by landing,8,6
A,opponent fails to clear the net,return net,fails to clear the net,9,6
B,wins by landing,rush,opponent wins by landing,9,7
A,opponent hits the net,net shot,hits the net,10,7
B,opponent goes out of bounds,long service,goes out of bounds,10,8
A,opponent goes out of bounds,smash,goes out of bounds,11,8
B,opponent hits the net,passive drop,hits the net,11,9
A,opponent goes out of bounds,smash,goes out of bounds,12,9
A,wins by landing,rush,opponent wins by landing,13,9
A,wins by landing,smash,opponent wins by landing,14,9
A,opponent hits the net,net shot,hits the net,15,9
B,opponent goes out of bounds,push,goes out of bounds,15,10
B,opponent goes out of bounds,push,goes out of bounds,15,11
B,wins by landing,return net,opponent wins by landing,15,12
B,opponent hits the net,smash,hits the net,15,13
B,wins by landing,smash,opponent wins by landing,15,14
A,wins by landing,smash,opponent wins by landing,16,14
B,opponent goes out of bounds,lob,goes out of bounds,16,15
B,wins by landing,lob,opponent wins by landing,16,16
B,opponent fails to clear the net,return net,fails to clear the net,16,17
A,opponent hits the net,return net,hits the net,17,17
A,wins by landing,return net,opponent wins by landing,18,17
A,opponent goes out of bounds,return net,goes out of bounds,19,17
A,opponent fails to clear the net,return net,fails to clear the net,20,17
A,opponent goes out of bounds,drive,goes out of bounds,21,17
