win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Pusarla V. Sindhu,wins by landing,push,opponent wins by landing,1,0
Pornpawee Chochuwong,opponent fails to clear the net,drop,fails to clear the net,1,1
Pusarla V. Sindhu,opponent fails to clear the net,return net,fails to clear the net,2,1
Pornpawee Chochuwong,wins by landing,clear,opponent wins by landing,2,2
Pornpawee Chochuwong,wins by landing,return net,opponent wins by landing,2,3
Pusarla V. Sindhu,wins by landing,rush,opponent wins by landing,3,3
Pornpawee Chochuwong,wins by landing,smash,opponent wins by landing,3,4
Pusarla V. Sindhu,opponent hits the net,wrist smash,hits the net,4,4
Pusarla V. Sindhu,wins by landing,smash,opponent wins by landing,5,4
Pusarla V. Sindhu,wins by landing,smash,opponent wins by landing,6,4
Pusarla V. Sindhu,opponent hits the net,passive drop,hits the net,7,4
Pornpawee Chochuwong,opponent hits the net,lob,hits the net,7,5
Pusarla V. Sindhu,wins by landing,drop,opponent wins by landing,8,5
Pusarla V. Sindhu,opponent goes out of bounds,clear,goes out of bounds,9,5
Pornpawee Chochuwong,opponent fails to clear the net,net shot,fails to clear the net,9,6
Pornpawee Chochuwong,wins by landing,push,opponent wins by landing,9,8
Pusarla V. Sindhu,wins by landing,drop,opponent wins by landing,10,8
Pornpawee Chochuwong,opponent fails to clear the net,return net,fails to clear the net,10,9
Pusarla V. Sindhu,opponent hits the net,drop,hits the net,11,9
Pusarla V. Sindhu,opponent fails to clear the net,return net,fails to clear the net,12,9
Pusarla V. Sindhu,wins by landing,clear,opponent wins by landing,13,9
Pornpawee Chochuwong,opponent fails to clear the net,return net,fails to clear the net,13,10
Pornpawee Chochuwong,wins by landing,rush,opponent wins by landing,13,11
Pornpawee Chochuwong,opponent goes out of bounds,smash,goes out of bounds,13,12
Pusarla V. Sindhu,opponent fails to clear the net,return net,fails to clear the net,14,12
Pornpawee Chochuwong,opponent fails to clear the net,net shot,fails to clear the net,14,13
Pornpawee Chochuwong,opponent goes out of bounds,smash,goes out of bounds,14,14
Pornpawee Chochuwong,opponent fails to clear the net,net shot,fails to clear the net,14,15
Pusarla V. Sindhu,opponent hits the net,drop,hits the net,15,15
Pornpawee Chochuwong,wins by landing,drop,opponent wins by landing,15,16
Pusarla V. Sindhu,wins by landing,smash,opponent wins by landing,16,16
Pusarla V. Sindhu,opponent hits the net,smash,hits the net,17,16
Pusarla V. Sindhu,opponent goes out of bounds,clear,goes out of bounds,18,16
Pornpawee Chochuwong,opponent goes out of bounds,clear,goes out of bounds,18,17
Pusarla V. Sindhu,wins by landing,drop,opponent wins by landing,19,17
Pornpawee Chochuwong,opponent fails to clear the net,return net,fails to clear the net,19,18
Pusarla V. Sindhu,wins by landing,push,opponent wins by landing,20,18
Pusarla V. Sindhu,wins by landing,drop,opponent wins by landing,21,18
