win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Rasmus Gemke,opponent hits the net,cross-court net shot,hits the net,0,1
Rasmus Gemke,opponent hits the net,net shot,hits the net,0,2
Anthony Sinisuka Ginting,opponent goes out of bounds,drop,goes out of bounds,1,2
Anthony Sinisuka Ginting,opponent goes out of bounds,clear,goes out of bounds,2,2
Rasmus Gemke,opponent fails to clear the net,net shot,fails to clear the net,2,3
Anthony Sinisuka Ginting,wins by landing,rush,opponent wins by landing,3,3
Rasmus Gemke,opponent hits the net,net shot,hits the net,3,4
Rasmus Gemke,opponent hits the net,rush,hits the net,3,5
Anthony Sinisuka Ginting,opponent hits the net,return net,hits the net,4,5
Anthony Sinisuka Ginting,opponent goes out of bounds,smash,goes out of bounds,5,5
Rasmus Gemke,wins by landing,wrist smash,opponent wins by landing,5,6
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,6,6
Rasmus Gemke,opponent goes out of bounds,defensive return drive,goes out of bounds,6,7
Rasmus Gemke,opponent goes out of bounds,lob,goes out of bounds,6,8
Rasmus Gemke,opponent goes out of bounds,push,goes out of bounds,6,9
Rasmus Gemke,opponent goes out of bounds,cross-court net shot,goes out of bounds,6,10
Rasmus Gemke,wins by landing,smash,opponent wins by landing,6,11
Rasmus Gemke,wins by landing,rush,opponent wins by landing,6,12
Rasmus Gemke,opponent goes out of bounds,clear,goes out of bounds,6,13
Anthony Sinisuka Ginting,wins by landing,push,opponent wins by landing,7,13
Rasmus Gemke,opponent fails to clear the net,net shot,fails to clear the net,7,14
Rasmus Gemke,wins by landing,rush,opponent wins by landing,7,15
Anthony Sinisuka Ginting,opponent goes out of bounds,lob,goes out of bounds,8,15
Rasmus Gemke,opponent fails to clear the net,return net,fails to clear the net,8,16
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,9,16
Anthony Sinisuka Ginting,wins by landing,wrist smash,opponent wins by landing,11,16
Anthony Sinisuka Ginting,wins by landing,return net,opponent wins by landing,12,16
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,13,16
Anthony Sinisuka Ginting,opponent fails to clear the net,return net,fails to clear the net,14,16
Anthony Sinisuka Ginting,opponent goes out of bounds,smash,goes out of bounds,15,16
Rasmus Gemke,opponent hits the net,smash,hits the net,15,17
Rasmus Gemke,opponent hits the net,drop,hits the net,15,18
Anthony Sinisuka Ginting,opponent goes out of bounds,defensive return drive,goes out of bounds,16,18
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,17,18
Rasmus Gemke,opponent goes out of bounds,smash,goes out of bounds,17,19
Rasmus Gemke,opponent fails to clear the net,net shot,fails to clear the net,17,20
Anthony Sinisuka Ginting,wins by landing,smash,opponent wins by landing,18,20
Anthony Sinisuka Ginting,wins by landing,return net,opponent wins by landing,19,20
Rasmus Gemke,wins by landing,smash,opponent wins by landing,19,21
