win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Ng Ka Long Angus,wins by landing,push,opponent wins by landing,0,1
Viktor Axelsen,opponent hits the net,cross-court net shot,hits the net,1,1
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,2,1
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,3,1
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,4,1
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,6,1
Ng Ka Long Angus,opponent hits the net,net shot,hits the net,6,2
Ng Ka Long Angus,opponent hits the net,cross-court net shot,hits the net,6,3
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,7,3
Viktor Axelsen,wins by landing,smash,opponent wins by landing,8,3
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,8,4
Viktor Axelsen,opponent goes out of bounds,push,goes out of bounds,9,4
Ng Ka Long Angus,opponent goes out of bounds,push,goes out of bounds,9,5
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,9,6
Ng Ka Long Angus,wins by landing,cross-court net shot,opponent wins by landing,9,7
Viktor Axelsen,opponent hits the net,net shot,hits the net,10,7
Ng Ka Long Angus,wins by landing,push,opponent wins by landing,10,8
Ng Ka Long Angus,opponent goes out of bounds,lob,goes out of bounds,10,9
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,11,9
Ng Ka Long Angus,opponent goes out of bounds,clear,goes out of bounds,11,10
Viktor Axelsen,opponent landing judgment error,push,landing judgment error,12,11
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,12,12
Viktor Axelsen,wins by landing,smash,opponent wins by landing,13,12
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,14,12
Viktor Axelsen,opponent hits the net,cross-court net shot,hits the net,15,12
Viktor Axelsen,wins by landing,smash,opponent wins by landing,16,12
Ng Ka Long Angus,wins by landing,rush,opponent wins by landing,16,13
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,17,13
Ng Ka Long Angus,opponent landing judgment error,push,landing judgment error,17,14
Viktor Axelsen,wins by landing,smash,opponent wins by landing,18,14
Viktor Axelsen,opponent hits the net,smash,hits the net,19,14
Viktor Axelsen,wins by landing,smash,opponent wins by landing,20,14
Viktor Axelsen,wins by landing,smash,opponent wins by landing,21,14
