win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
CHOU Tien Chen,opponent goes out of bounds,lob,goes out of bounds,0,1
CHOU Tien Chen,wins by landing,rush,opponent wins by landing,0,2
Kento MOMOTA,opponent goes out of bounds,smash,goes out of bounds,1,2
CHOU Tien Chen,wins by landing,smash,opponent wins by landing,1,3
Kento MOMOTA,wins by landing,smash,opponent wins by landing,2,3
Kento MOMOTA,wins by landing,smash,opponent wins by landing,3,3
CHOU Tien Chen,opponent hits the net,drive,hits the net,3,4
CHOU Tien Chen,opponent hits the net,net shot,hits the net,3,6
CHOU Tien Chen,opponent goes out of bounds,smash,goes out of bounds,3,7
CHOU Tien Chen,wins by landing,short service,opponent wins by landing,3,8
CHOU Tien Chen,opponent goes out of bounds,clear,goes out of bounds,4,9
CHOU Tien Chen,wins by landing,smash,opponent wins by landing,4,10
CHOU Tien Chen,opponent hits the net,wrist smash,hits the net,4,11
Kento MOMOTA,opponent goes out of bounds,smash,goes out of bounds,5,11
CHOU Tien Chen,opponent goes out of bounds,wrist smash,goes out of bounds,5,12
CHOU Tien Chen,opponent fails to clear the net,net shot,fails to clear the net,5,13
Kento MOMOTA,wins by landing,rush,opponent wins by landing,6,13
CHOU Tien Chen,opponent hits the net,wrist smash,hits the net,6,14
Kento MOMOTA,opponent goes out of bounds,return net,goes out of bounds,7,14
Kento MOMOTA,wins by landing,rush,opponent wins by landing,8,14
Kento MOMOTA,opponent goes out of bounds,push,goes out of bounds,9,14
Kento MOMOTA,opponent hits the net,rush,hits the net,10,14
CHOU Tien Chen,unknown,push,unknown,10,15
Kento MOMOTA,opponent goes out of bounds,wrist smash,goes out of bounds,11,15
CHOU Tien Chen,wins by landing,wrist smash,opponent wins by landing,11,16
CHOU Tien Chen,opponent goes out of bounds,cross-court net shot,goes out of bounds,11,17
CHOU Tien Chen,opponent hits the net,drop,hits the net,11,18
Kento MOMOTA,opponent goes out of bounds,smash,goes out of bounds,12,18
CHOU Tien Chen,wins by landing,wrist smash,opponent wins by landing,12,19
CHOU Tien Chen,opponent goes out of bounds,lob,goes out of bounds,12,20
Kento MOMOTA,wins by landing,wrist smash,opponent wins by landing,13,20
Kento MOMOTA,wins by landing,rush,opponent wins by landing,15,20
Kento MOMOTA,opponent hits the net,passive drop,hits the net,16,20
CHOU Tien Chen,opponent goes out of bounds,lob,goes out of bounds,16,21
