win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Anders Antonsen,opponent goes out of bounds,push,goes out of bounds,1,0
Anders Antonsen,opponent goes out of bounds,lob,goes out of bounds,2,0
Viktor Axelsen,wins by landing,smash,opponent wins by landing,2,1
Viktor Axelsen,wins by landing,smash,opponent wins by landing,2,2
Viktor Axelsen,wins by landing,rush,opponent wins by landing,2,3
Anders Antonsen,wins by landing,smash,opponent wins by landing,3,3
Anders Antonsen,wins by landing,rush,opponent wins by landing,4,3
Viktor Axelsen,opponent goes out of bounds,clear,goes out of bounds,4,4
Viktor Axelsen,opponent goes out of bounds,cross-court net shot,goes out of bounds,4,5
Anders Antonsen,opponent hits the net,net shot,hits the net,5,5
Anders Antonsen,opponent goes out of bounds,push,goes out of bounds,6,5
Viktor Axelsen,wins by landing,push,opponent wins by landing,6,6
Anders Antonsen,wins by landing,net shot,opponent wins by landing,7,6
Anders Antonsen,wins by landing,smash,opponent wins by landing,8,6
Anders Antonsen,opponent fails to clear the net,return net,fails to clear the net,9,6
Viktor Axelsen,wins by landing,rush,opponent wins by landing,9,7
Anders Antonsen,opponent hits the net,net shot,hits the net,10,7
Viktor Axelsen,opponent goes out of bounds,long service,goes out of bounds,10,8
Anders Antonsen,opponent goes out of bounds,smash,goes out of bounds,11,8
Viktor Axelsen,opponent hits the net,passive drop,hits the net,11,9
Anders Antonsen,opponent goes out of bounds,smash,goes out of bounds,12,9
Anders Antonsen,wins by landing,rush,opponent wins by landing,13,9
Anders Antonsen,wins by landing,smash,opponent wins by landing,14,9
Anders Antonsen,opponent hits the net,net shot,hits the net,15,9
Viktor Axelsen,opponent goes out of bounds,push,goes out of bounds,15,10
Viktor Axelsen,opponent goes out of bounds,push,goes out of bounds,15,11
Viktor Axelsen,wins by landing,return net,opponent wins by landing,15,12
Viktor Axelsen,opponent hits the net,smash,hits the net,15,13
Viktor Axelsen,wins by landing,smash,opponent wins by landing,15,14
Anders Antonsen,wins by landing,smash,opponent wins by landing,16,14
Viktor Axelsen,opponent goes out of bounds,lob,goes out of bounds,16,15
Viktor Axelsen,wins by landing,lob,opponent wins by landing,16,16
Viktor Axelsen,opponent fails to clear the net,return net,fails to clear the net,16,17
Anders Antonsen,opponent hits the net,return net,hits the net,17,17
Anders Antonsen,wins by landing,return net,opponent wins by landing,18,17
Anders Antonsen,opponent goes out of bounds,return net,goes out of bounds,19,17
Anders Antonsen,opponent fails to clear the net,return net,fails to clear the net,20,17
Anders Antonsen,opponent goes out of bounds,drive,goes out of bounds,21,17
